,UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
196,PusatDarahNegara,@PDNKKM,2016-03-05T06:49:34.000Z,#jomdermadarah di Kempen Derma Darah Kolej Canselor Universiti Putra Malaysia pada 6 Mac 2016 (Ahad) dari jam... http://fb.me/74l7V6VdA,,,1.0,1.0,,https://twitter.com/PDNKKM/status/706008736091893760
197,αzмєєя,@amscripts,2016-03-06T16:09:01.000Z,Kempen Derma Darah anjuran #Kawasaki #Malaysia. Anda… https://instagram.com/p/BCnfPglAaDe/,,,,,,https://twitter.com/amscripts/status/706511914986242048
198,alzam ibrahim,@wum1931,2016-03-19T07:32:45.000Z,"Sekitar Kempen Derma Darah Kawasaki Malaysia...

#19Mac16
#HQKawasakikeAeonBukitTinggi
#PDN — feeling sad at ÆON... http://fb.me/98i1YUdHH",,,,,,https://twitter.com/wum1931/status/711093036189655040
199,anak jamal /(^-^)\,@norjannahjamal,2016-03-18T02:38:09.000Z,"Derma darah
 (@ Library Level 1 in Malacca, Malaysia w/ 
@nursheiyrah
) https://swarmapp.com/c/11mxIS1sELI",💉,,,1.0,https://abs-0.twimg.com/emoji/v2/svg/1f489.svg,https://twitter.com/norjannahjamal/status/710656508330172416
200,داليا ذاحيد,@dalioott,2016-03-16T05:34:35.000Z,"nak derma darah tak lepas 
 (@ Library Level 1 in Malacca, Malaysia) https://swarmapp.com/c/1f5pr2VPmEd",😪,,,,https://abs-0.twimg.com/emoji/v2/svg/1f62a.svg,https://twitter.com/dalioott/status/709976134826463233
201,Faliqkun™,@faliqkun,2016-03-24T00:48:28.000Z,disebabkan ini jugak la aku tak boleh derma darah dekat malaysia. alasan dia sbb mad cow disease. zzzzzzzzzzz ,😑 😒 😒 😒,,,,https://abs-0.twimg.com/emoji/v2/svg/1f611.svg,https://twitter.com/faliqkun/status/712803233463316481
202,JabatanKimiaMalaysia,@Kimia_Malaysia,2016-03-21T10:14:06.000Z,"21 Mac 2016 : Sekitar program CSR - Kempen Derma Darah anjuran Kelab Sukan & Kebajikan Kimia,… https://instagram.com/p/BDNhlSgn_cv/",,,,2.0,,https://twitter.com/Kimia_Malaysia/status/711858414146625536
203,PusatDarahNegara,@PDNKKM,2018-01-06T04:00:23.000Z,"Jadual Kempen Derma Darah
7 Januari 2018 (Ahad)

#jomdermadarah
#darahtakpernahcuti",,1.0,4.0,,https://pbs.twimg.com/media/DS1E2tHVAAAQvR6?format=jpg&name=small,https://twitter.com/PDNKKM/status/949490805940596737
204,Keep Headphones On..,@ChapKrodit,2018-01-07T04:22:55.000Z,"- Please CONFIRM.. Orang  yang ada tatu (tattoo) kat badan boleh derma darah tak.? Di negara barat, tak boleh... Mungkin di Malaysia... Boleh..",🎧 🎧,,,,,https://twitter.com/ChapKrodit/status/949858865423704064
205,Keep Headphones On..,@ChapKrodit,2018-01-07T04:19:38.000Z,"Replying to 
@DrBeniRusani
 @adibahnoor
 and 4 others- Please CONFIRM.. Orang  yang ada tatu (tattoo) kat badan boleh derma darah tak.? Di negara barat, tak boleh... Mungkin di Malaysia... Boleh..",🎧 🎧,,,,,https://twitter.com/ChapKrodit/status/949858039959465984
