UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kevin Koo Seng Kiat,@kevinkoosk,2015-01-03T08:18:41.000Z,Flood victims on Malaysia's east coast require blood donation. #Blood4Flood campaign 9-11 January #mybanjir,,,1,,https://pbs.twimg.com/media/B6aUvXZCAAIMwHZ?format=jpg&name=900x900,https://twitter.com/kevinkoosk/status/551291546008424448
Zashnain Zainal,@bedlamfury,2015-01-01T11:40:30.000Z,#Banjir: KKM mohon orang ramai derma darah « Malaysia blood donation drive. http://bit.ly/1Aeh7Qd,,,1,,,https://twitter.com/bedlamfury/status/550617559259574272
Malaysia Agent,@malaysia_agent,2015-01-07T16:39:02.000Z,Floods: Blood donation campaign exceeds target http://ift.tt/14vuQaG #malaysia,,,,,,https://twitter.com/malaysia_agent/status/552867013241352193
SME Bank,@SME_Bank,2015-01-12T01:57:17.000Z,"Blood Donation Campaign

The National Blood Centre Malaysia urgently requires blood to meet the increased demand... http://fb.me/1ugpiJB6O",,,,,,https://twitter.com/SME_Bank/status/554457054891757568
Anak Sarawak,@sarawak_twt,2015-01-14T15:03:07.000Z,"Mun nak cerita psl blood donation, masa jd curator twt malaysia dlok ada pdh. Sama juak waktu first time jd curator sarawak twt",,,,2,,https://twitter.com/sarawak_twt/status/555379589988380674
V.Sivakumar,@Sivatronoh,2015-01-11T04:51:32.000Z,"Attending blood donation campaign organised by Malaysia Hindu Sangam, Batu Gajah at Changkat Tamil School",,,,,,https://twitter.com/Sivatronoh/status/554138518042066944
Triple Dis,@rfqbhqi,2015-01-17T02:56:49.000Z,"Cargill Cares Malaysia National Blood Donation Day. (@ IOI Mall in Puchong, Selangor) https://swarmapp.com/c/4vlkuUkO2ME",,,,1,,https://twitter.com/rfqbhqi/status/556283973857734657
PoinTChonG@ManHanD慢行,PoinTChonG@ManHanD慢行,2015-01-17T06:25:01.000Z,"Blood donation at Endah Parade Sri Petaling , go to FB : sedarah malaysia for more info http://instagram.com/p/x8eWxGIVrF/",,,,,,https://twitter.com/PoinTChonG/status/556336371166875648
Taufiq Airiz,@taufiqarifin11,2015-03-07T10:48:09.000Z,"So proud,hope so in Malaysia one day..
during blood donation and some sport event... http://fb.me/4AqkSMWwI",,,,,,https://twitter.com/taufiqarifin11/status/574159595519799298
Izwan Husin 🅛,@izwanhusin_,2015-03-10T00:55:32.000Z,"Blood donation drive @ Wipro Unza Sdn. Bhd. 
 (@ Wipro-Unza (Malaysia) Sdn. Bhd.) https://swarmapp.com/c/chsIzdZkSts",🅰 🅱 🆎 🅾,,,,https://abs-0.twimg.com/emoji/v2/svg/1f170.svg,https://twitter.com/izwanhusin_/status/575097621397835776
mohamad hannan,@mohamadhannan94,2015-03-19T03:29:25.000Z,"blood donation (@ Hostel KK1, Universiti Sains Islam Malaysia) https://swarmapp.com/c/bZV3l4Gn9jf",,,,1,,https://twitter.com/mohamadhannan94/status/578397836674535424
JuiceSky,@JuiceSkyAds,2015-04-10T07:49:09.000Z,RedSaver Blood Donation FREE Lao Po Dou Hua - Malaysia Delicious Organic Tofu / Soybean Pudding... http://fb.me/7ozJWwQEX,,,,,,https://twitter.com/JuiceSkyAds/status/586435737576288256
Bikesrepublic,@BikesRepublic,2015-04-13T03:49:03.000Z,kawasaki Motors Malaysia's 7th annual blood donation campaign http://goo.gl/DxCi3y #kawasaki,,,,,,https://twitter.com/BikesRepublic/status/587462478071664640
Rizzman,@aidyrizz,2015-04-14T04:34:01.000Z,"Blood Donation now happening at KKIA T1  #JP14 #Malaysia 
@JapenSabah
 @MusaHjAman
 @Almain_Ajirul",,,4,,https://pbs.twimg.com/media/CChBwsfUIAAsjKs?format=jpg&name=small,https://twitter.com/aidyrizz/status/587836181020151808
{ATOM},@_ATOMbot,2015-04-27T08:34:56.000Z,Nepal PM calls for blood donation: KATHMANDU: Nepalese Prime Minister Sushil Koirala has  appe... http://bit.ly/1A4vvIX #malaysia #news,,,,,,https://twitter.com/_ATOMbot/status/592607849437466624
Asia Pacific News,@AsiaPacNews,2015-04-27T06:54:08.000Z,Malaysia News:~ > Nepal Prime Minister Calls For Blood Donation In Wake Of Quake http://dlvr.it/9Ysqxm #Malaysia #Asia,,,,,,https://twitter.com/AsiaPacNews/status/592582485180973056
Izwan Husin 🅛,@izwanhusin_,2015-05-09T12:15:39.000Z,"Mobile Blood Donation @ UPM. 
 #PusatDarahNegara @ Universiti Putra Malaysia https://instagram.com/p/2dff2dFgqu/",🚑,1,,,https://abs-0.twimg.com/emoji/v2/svg/1f691.svg,https://twitter.com/izwanhusin_/status/597012052545253376
Ainul Yaqeen,@YaqeenAinul,2015-05-16T04:39:59.000Z,Blood donation drive organize by majlis Khuddamul ahmadiyah Malaysia #LoveForAllHatredForNone #Ahmadiyya,,,6,1,https://pbs.twimg.com/media/CFGeH5BUUAEpvpp?format=jpg&name=900x900,https://twitter.com/YaqeenAinul/status/599434094347362304
mohdnor tokidoki●○•°,@alongchaos,2015-05-18T04:05:35.000Z,"Blood donation. 
Selepas sekian lama bru tau jenis darah sndri
#VSCOcam @ Telekom Malaysia,(TMSC)… https://instagram.com/p/2zylYLRCCx/",😂 😂,,,,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,https://twitter.com/alongchaos/status/600150213110665217
faz,@FatinAinaZureen,2015-05-19T03:36:30.000Z,"@twt_malaysia
 hai nak tanya, ada sesiapa kat sini penderma organ? Thank you.",,7,2,,,https://twitter.com/FatinAinaZureen/status/600505281756340224
/sʌfrɪ/,@waksapar23,2015-05-19T05:46:42.000Z,"@FatinAinaZureen
 @twt_malaysia
 saya. Senang je. Isi borang tick tick ambik kad. Dah settle daftar. Last time daftar kat blood donation drive",,1,,,,https://twitter.com/waksapar23/status/600538044932829184
Ainul Yaqeen,@YaqeenAinul,2015-05-16T04:46:48.000Z,"Blood donation organize by majlis Khuddamul ahmadiyah Muslim Malaysia 
@Ahmadiyya
 @AhmadiyyaTimes
 @AhmadiyyatIslam",,,2,,https://pbs.twimg.com/media/CFGfrsgUUAAA1Ys?format=jpg&name=900x900,https://twitter.com/YaqeenAinul/status/599435808689369089
Izhar Mustaqin,@izharmustaqin,2015-06-21T02:04:41.000Z,Blood donors in Sweden get a text whenever they save a life. Malaysia should implement this to promote blood donation,,,1,1,https://pbs.twimg.com/media/CH_Ty9BUsAAvDud?format=jpg&name=360x360,https://twitter.com/izharmustaqin/status/612440973868580864
Muhammad Shafiq,@shafiqrosli,2015-07-01T17:11:14.000Z,GoPro Malaysia Hari Raya & Blood Donation. Jualan amal tshirt. Juga boleh berurusan dengan saya. Call… https://instagram.com/p/4mfeCDDX48/,,,,,,https://twitter.com/shafiqrosli/status/616292993297973249
GoWhere Malaysia,@gowheremalaysia,2015-07-24T04:38:24.000Z,"Blood Donation at Tom, Dick & Harry - GoWhere Malaysia http://gowhere.my/info/blood-donation-at-tom-dick-harry/#.VbHBOMAkkPI.twitter…",,,,,,https://twitter.com/gowheremalaysia/status/624438458702925824
VueltaMundoSinPrisas,@Vueltasinprisas,2015-07-25T08:54:43.000Z,Blood donation day with charity organisation from Malaysia. #lavueltaalmundosinprisas… https://instagram.com/p/5jZueej05t/,,,,1,,https://twitter.com/Vueltasinprisas/status/624865349079580672
saroki,@saroki19,2015-08-03T13:21:07.000Z,"@imokman
 they shld use Malaysia spin master & blame all this on donation...blood donation http://themalaysianinsider.com/sports/article/russia-says-examining-new-doping-accusations#sthash.APBNpSmh.dpbs…",,,,,,https://twitter.com/saroki19/status/628193883260739585
Z I H A S A L L E H,@zihaofficial,2015-08-13T04:21:00.000Z,Celebrating Malaysia Films | Kitasama Blood Donation Drive #scarednotscared https://instagram.com/p/6T1gTXuBx7e1o7v5ej5g1XMaCkndUZhSE3iQw0/…,,,,1,,https://twitter.com/zihaofficial/status/631681837132349440
wrdh.,@cikhanaohhanie,2015-08-12T01:47:25.000Z,Darah Satria | Blood Donation Progamme in all Politeknik Malaysia Campus ,🌸,,1,3,https://abs-0.twimg.com/emoji/v2/svg/1f338.svg,https://twitter.com/cikhanaohhanie/status/631280799539593216
Z I H A S A L L E H,@zihaofficial,2015-08-13T03:44:15.000Z,PC .. Negaraku2015 : Celebrating Malaysia Films & Kitasama Blood Donation… https://instagram.com/p/6TxS_iOB8bSe5FV-LKLLhDXvsP6CvUStMObcY0/…,,,1,1,,https://twitter.com/zihaofficial/status/631672587051999233
merits collector since year 1990,@ecofrenfanclub,2015-08-14T01:57:34.000Z,#KLfm Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/ecofrenfanclub/status/632008127454425088
merits collector since year 1990,@ecofrenfanclub,2015-08-14T01:57:41.000Z,Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/ecofrenfanclub/status/632008155753353216
Busy BODY camelia,@7seven4peace7,2015-08-14T01:57:46.000Z,Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/7seven4peace7/status/632008178171949056
K Poh Chee Camelia,@yehenaracamelia,2015-08-16T03:06:47.000Z,#DramaSangat Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/yehenaracamelia/status/632750323057037312
K Poh Chee Camelia,@yehenaracamelia,2015-08-16T02:17:52.000Z,Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques? #keepflying #talentcorp,,,,,,https://twitter.com/yehenaracamelia/status/632738012816764928
merits collector,@candy_camy,2015-08-17T01:46:19.000Z,#Montreal Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/candy_camy/status/633092459547901952
ecofren camelia,@RichCamelia,2015-08-14T09:08:57.000Z,#groovedown Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/RichCamelia/status/632116689883152384
Chow Jun Meng,@CJM_JunMeng,2015-08-26T02:48:35.000Z,"Blood donation partner ffk. Hunting..... (@ Monash University Malaysia - 
@monashuni
 in Bandar Sunway, Selangor) https://swarmapp.com/c/0rwkwWyuLvk",,,,1,,https://twitter.com/CJM_JunMeng/status/636369619046039552
ECOFREN CAMELIA,@ecofrenlove,2015-08-30T01:30:33.000Z,Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques? #crowdfunding #WorldPeaceDay,,,,1,,https://twitter.com/ecofrenlove/status/637799536543428609
CARMagMy,@CAR_Malaysia,2015-08-30T11:10:58.000Z,"Selamat Hari Kebangsaan 2015, celebrate with the Astro Group by joining the Kita Sama Blood Donation Drive at... http://fb.me/7pcw1fOtr",,,,,,https://twitter.com/CAR_Malaysia/status/637945600663662593
ECOFREN CAMELIA,@ecofrenlove,2015-08-30T01:31:06.000Z,#globalbersih Y malaysia University MALAYA medical centre FAILURE-fail 2 hold BLOOD DONATION campaigns@ all mosques?,,,,,,https://twitter.com/ecofrenlove/status/637799671448993792
CARMagMy,@CAR_Malaysia,2015-09-11T08:25:42.000Z,"Join us at the Kita Sama Blood Donation Drive this weekend at Times Square, Penang and Oceanus Water Front Mall,... http://fb.me/3nDsUNN4T",,,,,,https://twitter.com/CAR_Malaysia/status/642252664760172544
Samuel Kieng,@SKieng,2015-09-16T04:47:59.000Z,"Happy Malaysia Day!!! #first#time#blood#donation#skunilife @ Parit Raja, Batu Pahat, Johor https://instagram.com/p/7rbm9mwFPV/",,,,,,https://twitter.com/SKieng/status/644009812381069312
FourFourTwo,@FourFourTwoMY,2015-09-16T03:10:02.000Z,"In the spirit of Malaysia Day, let’s all rally together for our last Kita Sama Blood Donation Drive happening at... http://fb.me/2aSpHIMsX",,,2,1,,https://twitter.com/FourFourTwoMY/status/643985164427595777
CARMagMy,@CAR_Malaysia,2015-09-16T01:00:02.000Z,"In the spirit of Malaysia Day, let’s all rally together for our last Kita Sama Blood Donation Drive happening at... http://fb.me/481aC4cad",,,,,,https://twitter.com/CAR_Malaysia/status/643952446885130241
