UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
1Darah,@1Darah1M,2019-01-20T23:10:23.000Z,"Selamat Hari Thaipusam

Reposted from 
@pdnkkm
  -  Jom derma darah bersama kami di Kempen Derma Darah Thaipusam 2019 anjuran bersama Sathya Sai International Organisation of Malaysia… https://instagram.com/p/Bs39KZKBcQK/?utm_source=ig_twitter_share&igshid=1owdl9vbywpaj…",,,,,,https://twitter.com/1Darah1M/status/1087125215904182284
RTM Malaysia,@RTM_Malaysia,2019-01-20T00:15:12.000Z,"Jadual Kempen Derma Darah 
20 Januari 2019 (Ahad) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat

@pusatdarahnegara
#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor",,,1,1,https://pbs.twimg.com/media/DxUD3jLXQAgGSiY?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1086779139917574144
RELA DAERAH RANTAU PANJANG,@RELA_RANTAUPNJG,2019-01-23T06:07:03.000Z,"Info/Aktiviti

Program Derma Darah Hospital Pasir Mas

Anjuran : Hospital Pasir Mas

Jabatan Sukarelawan Malaysia (RELA) Daerah Rantau Panjang, Kelantan 

Tarikh : 23/01/2019  (Rabu)
Masa : 09.30 Pagi hingga... https://facebook.com/100003816800942/posts/1433661656771047/…",,,,,,https://twitter.com/RELA_RANTAUPNJG/status/1087954846463000576
YB Nurul Izzah Anwar,@PmtgPauhP044,2019-01-26T06:16:08.000Z,"Kempen Jom Derma Darah di Mydin Mall Bukit Mertajam dirasmikan oleh YB 
@n_izzah
 anjuran DUN Seberang Jaya & Lee Ting San Group dgn kerjasama Mydin & Kementerian Kesihatan Malaysia. Mari derma darah, ingatlah, setitis mampu membawa sejuta harapan. #PermatangPauh #DemiPermatangPauh",🌺,4,2,38,https://pbs.twimg.com/media/Dx0QAolU8AA0eSA?format=jpg&name=small,https://twitter.com/PmtgPauhP044/status/1089044297687560192
RTM Malaysia,@RTM_Malaysia,2019-01-25T03:15:06.000Z,"Jadual Kempen Derma Darah
25 Januari 2019 (Jumaat) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat

#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor",,,,1,https://pbs.twimg.com/media/Dxuc_XvXgAEBC4x?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1088636349513633792
YADIM Official,@YadimOfficial,2019-01-25T13:01:49.000Z,"KEMPEN DERMA DARAH INISIATIF PERLUASAN GAGASAN RAHMATANLILALAMIN YADIM ZON SABAH 

SABAH : Yayasan Dakwah Islamiah Malaysia (YADIM) melalui cawangannya YADIM Zon Sabah sentiasa proaktif mempelbagaikan inisiatif... https://facebook.com/480621232017153/posts/2123658121046781/…",,,,,,https://twitter.com/YadimOfficial/status/1088784002570440704
Noraminah Omar,@NoraminahO,2019-02-01T14:01:25.000Z,"#dermadarah

Kempen derma Darah Malaysia https://facebook.com/100000969817860/posts/2467653116610325/…",,,,,,https://twitter.com/NoraminahO/status/1091335716838260736
Dr Hafsah Sazali,@hafsah_sazali,2019-02-01T19:18:07.000Z,"Mengikut polisi di Ireland, negara saya bekerja, pesakit psoriasis boleh derma darah jika masalah psoriasis itu ringan dan hanya memerlukan ubat sapu.

Untuk kepastian, perlu rujuk polisi di pusat derma darah berdekatan anda di Malaysia.Quote Tweet
Blankspace
@asmahassan611
 · Jan 30, 2019
@hafsah_sazali Assalam and Hi, I'm curious about something. This is some kind of silly question, maybe? 
 Still, it keeps running in my head so, if someone is diagnosed with psoriasis, can he/she donates his/her blood? Does it still effect the receiver? Thanks ",😲 🌸,1,9,22,https://pbs.twimg.com/profile_images/835768585393860608/5y92TC51_mini.jpg,https://twitter.com/hafsah_sazali/status/1091415417615208449
RTM Malaysia,@RTM_Malaysia,2019-01-30T05:15:11.000Z,"Jadual Kempen Derma Darah
31 Januari 2019 (Khamis) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat

#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor
#pusatdarahnegara",,,2,2,https://pbs.twimg.com/media/DyIobQ6WkAA2dPf?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1090478510823690241
RTM Malaysia,@RTM_Malaysia,2019-01-30T09:15:10.000Z,"PEMBATALAN KEMPEN DERMA DARAH DI AMPANG POINT 31/1/2019. 

Dukacita dimaklumkan bahawa kempen derma darah yang telah dijadualkan di Ampang Point esok 31/1/2019 telah dibatalkan atas sebab-sebab yang tidak dapat dielakkan. Mohon maaf dan segala kesulitan amatlah dikesali.",,,1,,https://pbs.twimg.com/media/DyJfWi0WwAAhIT5?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1090538902207778817
Noraminah Omar,@NoraminahO,2019-02-07T04:04:37.000Z,"#dermadarah

Kempen derma Darah Malaysia https://facebook.com/noraminahomar/posts/2479313238777646…",,,,,,https://twitter.com/NoraminahO/status/1093359853920313344
RTM Malaysia,@RTM_Malaysia,2019-02-04T06:15:40.000Z,"Jadual Kempen Derma Darah
5 Februari 2019 (Selasa) * Jadual ini tertakluk kepada sebarang bentuk pindaan. Pihak PDN memohon agar para penderma hadir ke lokasi kempen 30 minit sebelum waktu tamat

#pusatdarahnegara
#jomdermadarah
#darahtakpernahcuti
#BeThe1Donor",,,5,4,https://pbs.twimg.com/media/DyimN6HU0AAJFR-?format=jpg&name=small,https://twitter.com/RTM_Malaysia/status/1092305669506719744
TZ,@athirahzainol,2019-02-11T12:45:04.000Z,"Tergerak hati nak baca buku derma darah. Rupanya kalau derma darah boleh dapat rawatan kesihatan percuma dekat Malaysia. Lebih 50 kali boleh untuk diri sendiri dengan pesakit luar selama 10 tahun. Walaoooo. So tunggu apa lagi, pergi lah derma darah ",🥳 🥳,,1,,https://abs-0.twimg.com/emoji/v2/svg/1f973.svg,https://twitter.com/athirahzainol/status/1094940381270011909
